Wstaw odpowiednią formę czasownika;Użyj czasownika podanego w nawiasach;Verbes;
J';45 ans.;ai;avoir
Nous;deux enfants.;avons;avoir
Vous;mariés ?;êtes;être
Marie et Jean;polonais et italien.;parlent;parler
Vous;des amis ?;avez;avoir
Nous;allemand.;parlons;parler
Je ne;pas thaïlandais.;parle;parler
Tu n';pas autrichien.;es;être
Ils;jeunes.;sont;être
Tu;12 ans.;as;avoir
Je;célibataire.;suis;être
Julie;trois filles.;a;avoir
Tu;arabe ?;parles;parler
Elle;jolie.;est;être
Vous;italien ?;parlez;parler
Ils;un chien.;ont;avoir
Nous;intelligents.;sommes;être
Marc;au professeur.;parle;parler
